sha256,file_size,packed,local_score,intel_score,score,heuristic_score,cfg_nodes,cfg_edges,cfg_cyclomatic,cfg_max_depth,cfg_avg_depth,cfg_loop_count,cfg_scc_count,strings_total_count,strings_b64_count,api_risk_score,platform,family,source
e98f4dbfc2c5bfe7d4f8f4a21bcab3a4f8b0a577c1f25b417371b9047eba6e66,909312,1,31.0,0.0,31.0,31.0,111,117,8,111,52.1802,0,111,2143,343,0.0,Windows,Emotet,MalwareBazaar
ead01383f9da349217fe53b2c3ac770c944861797678a8c374651e407ccdab66,184320,0,28.0,0.0,28.0,28.0,60,86,28,60,20.0,0,60,538,21,36.0,Windows,Fanny,MalwareBazaar
eb278ac27e080efc451d8f6d24c5b2ac708c28784d31639f5bb1d28cb0b15fe4,545280,1,36.0,0.0,36.0,36.0,103,124,23,103,42.2816,0,103,1134,10,22.0,Windows,Emotet,MalwareBazaar
eb76f62f4ba0718afd9b1bcccd6389a6043a4394a6769730f75f8e1f8b3752af,326136,0,10.0,0.0,10.0,10.0,8,16,10,8,2.75,0,8,328,1,30.0,Android,Arsink,MalwareBazaar
e15ebe6b60173a80a7fc6b421ad5bc59d72404eae2e71ff1b0cf530b20c1d886,13638915,0,38.0,0.0,38.0,38.0,54,73,21,54,19.537,0,54,26291,360,4.0,Android,Android.Generic,MalwareBazaar
e883b494df1db6b562b93761cdc79c53b2d73ac3b1158f9926621613ce012759,133120,0,21.0,0.0,21.0,21.0,26,30,6,26,10.9615,0,26,1886,97,0.0,Windows,Win.Injector.Generic,MalwareBazaar
e84dd033ec9f0cac86976b5d77fc58390aa116ffeb1142bd4440cb19fa79558d,1625088,0,60.0,0.0,60.0,60.0,5004,6246,1244,90,35.8681,13,404,6195,92,26.0,Windows,Win.Suspicious.Generic,MalwareBazaar
e72c98fa431036bbc76060a01631c68db349efeebfe566e08f5e9d3cb163ffc5,4764672,1,41.0,0.0,41.0,41.0,171,231,62,171,60.8012,0,171,6562,102,30.0,Windows,SnappyClient,MalwareBazaar
e7e2f8e9d085fed04549fcbd6d6f4374541c40ade814181b732d6075228683df,608885,0,14.0,0.0,14.0,14.0,16,31,17,16,4.625,0,16,412,1,0.0,Android,Mirai,MalwareBazaar
e7e8d69ea8ecab221f713879fe441f4c8a19501b0089aa97bc0c348df88efdda,110465,0,37.0,0.0,37.0,37.0,13,25,14,13,3.9231,0,13,180,1,0.0,Android,Mirai,MalwareBazaar
e8444339164268d9950b137d7a23f09eb213b9e9fedb7d4a025b5f1075e3929c,193536,0,13.0,0.0,13.0,13.0,581,683,104,40,19.8,11,347,196,1,38.0,Windows,Heodo,MalwareBazaar
e0cf76bcd1e71192d54e72c229616e5d0fc2ac20451272e317608b37d89582a8,1641984,1,47.0,0.0,47.0,47.0,151,195,46,151,56.6556,0,151,3165,31,30.0,Windows,DarkSideRAT,MalwareBazaar
e25fa1d0a29eaea8b9a60a2d39c73f147efd544d391a4a4e115df13534226481,95200,1,40.0,0.0,40.0,40.0,39,53,16,39,13.8462,0,39,297,15,26.0,Windows,Win.Packed.Generic,MalwareBazaar
e292d45072e4c2569785cbe4ea66daa355af74295bb8b266d5bfcf18d816b26b,423732,0,28.0,0.0,28.0,28.0,6,11,7,6,2.3333,0,6,642,2,0.0,Android,Android.Trojan.Overlay,MalwareBazaar
d90a158c16e8635a98d0597cdbfa320b326ca361702200ab0143de28098e32c8,424308,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,704,1,0.0,Unknown,Unknown.Generic,Local
e30457394a1155cb80d2c51170f98be3c246f716010d8ee7441a4971c2b8103d,792576,1,29.0,0.0,29.0,29.0,121,131,12,121,55.3471,0,121,1568,137,0.0,Windows,Emotet,MalwareBazaar
e36a7b5141a3a8eabd6fac3e22112f508b76dfeeb95e12dd6442de3685bab4f8,3072,0,2.0,0.0,2.0,2.0,16,22,8,16,5.75,0,16,38,2,0.0,Windows,Win.Generic,MalwareBazaar
